Universidad,Tipo Titulación,Facultad,Titulación,Título,Autor,Año,URL,Archivo Abstract,Palabras Clave,Idioma Abstract
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster Universitario en Investigación e Innovación en Tecnologías de la Información y las Comunicaciones,Un Framework flexible para resolver problemas de optimización mediante sistemas multi-agente,"Fernández Jiménez, David",2013,https://repositorio.uam.es/handle/10486/14097,abstracts_uam_TFM\RND_Un_Framework_flexible_para_res_2013_45571391.txt,"Soporte lógico - Desarrollo; Optimización, Modelos de",spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster Universitario en Ingeniería Informática,Propuesta de diseño y desarrollo de un LMS social,"Garmendia Jorge, Antonio",2013,https://repositorio.uam.es/handle/10486/14107,abstracts_uam_TFM\RND_Propuesta_de_dise_o_y_desarrol_2013_58719295.txt,Enseñanza asistida por ordenador; Segunda materia,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster Universitario en Ingeniería Informática y de Telecomunicación,Seguimiento de objetos en entornos concurridos,"Ruiz Fernández, Carlos Jesús",2013,https://repositorio.uam.es/handle/10486/14100,abstracts_uam_TFM\RND_Seguimiento_de_objetos_en_ento_2013_46255565.txt,"Imágenes, Tratamiento de las; Vídeo",spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster en Investigación y Innovación en Tecnologías de la Información y las Comunicaciones,Descripción de las actividades de una propuesta de Metodología de Desarrollo de Software Dirigida por Modelos,"Jácome Guerrero, Santiago",2013,https://repositorio.uam.es/handle/10486/13837,abstracts_uam_TFM\RND_Descripci_n_de_las_actividades_2013_32241803.txt,Ingeniería del software; Soporte lógico - Desarrollo,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Master en Investigación e Innovación en Tecnologías de la Información y las Comunicaciones,"Caracterización práctica del canal estrecho en las bandas de 2.4 GHz, 3.3 GHz y 5.5 GHz para interiores","Naranjo Hidalgo, César Alfredo",2013,https://repositorio.uam.es/handle/10486/13834,abstracts_uam_TFM\RND_Caracterizaci_n_pr_ctica_del_c_2013_84032641.txt,Antenas (Electrónica),spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster Oficial en Ingeniería Informática y de Telecomunicación,Temporal contours in linguistic units for automatic text-independent speaker recognition,"Franco-Pedroso, Javier",2013,https://repositorio.uam.es/handle/10486/13831,abstracts_uam_TFM\RND_Temporal_contours_in_linguisti_2013_10054893.txt,Reconocimiento automático de la palabra; Redes bayesianas,eng
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Master in Computer Science and Telecommunication Engineering,Desarrollo de un sistema de toma de datos genérico con aplicación al campo de la física nuclear,"Santos Buendía, Cayetano",2013,https://repositorio.uam.es/handle/10486/13832,abstracts_uam_TFM\RND_Desarrollo_de_un_sistema_de_to_2013_22744222.txt,Física nuclear; Ingeniería del software,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster Universitario en Investigación e Innovación en Tecnologías de la Información y las Comunicaciones,Diseño e implementación de un algoritmo de estrategias colaborativas entre robots móviles provistos de sensores de olor inteligentes para localizar y posicionar fuentes de olores características,"Acosta Núñez, Julio Francisco",2013,https://repositorio.uam.es/handle/10486/14098,abstracts_uam_TFM\RND_Dise_o_e_implementaci_n_de_un__2013_50558990.txt,"Robótica; Comunicación sin cable, Sistemas de",spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster Universitario en Ingeniería Informática y Telecomunicaciones,"""MyDressRecommender"": un asistente de vestimenta Android para personas con limitaciones cognitivas","Rojo Carracedo, Juan Antonio",2013,https://repositorio.uam.es/handle/10486/14101,abstracts_uam_TFM\RND__MyDressRecommender___un_asist_2013_10108321.txt,Android (Sistema operativo de ordenador); Personas con discapacidad,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster en Ingeniería Informática y de Telecomunicación,Sparse Linear Models and Proximal Optimization,"Torres Barrán, Alberto",2013,https://repositorio.uam.es/handle/10486/14111,abstracts_uam_TFM\RND_Sparse_Linear_Models_and_Proxi_2013_9578486.txt,"Modelos lineales (Estadística); Optimización, Modelos de",eng
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster en Ingeniería Informática y de Telecomunicaciones,Biometric security: a new multimodal hill-climbing attack,"Gómez-Barrero, Marta",2013,https://repositorio.uam.es/handle/10486/14112,abstracts_uam_TFM\RND_Biometric_security__a_new_mult_2013_25573809.txt,"Biometría; Seguridad, Sistemas de",eng
Universidad Autónoma de Madrid,Máster,Facultad de Ciencias,No disponible,"El método de la fase estacionaria, funciones de Bessel y aplicaciones","Castro Castilla, Alejandro J.",2010,https://repositorio.uam.es/handle/10486/14242,abstracts_uam_TFM\RND_El_m_todo_de_la_fase_estaciona_2010_32674011.txt,"Bessel, funciones de",spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster en Investigación e Innovación en Tecnologías de la Información y las Comunicaciones,On the fusion of single-target video objects tracking algorithms,"Martín Nieto, Rafael",2013,https://repositorio.uam.es/handle/10486/13833,abstracts_uam_TFM\RND_On_the_fusion_of_single-target_2013_3535189.txt,Vídeo; Algoritmos,eng
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster Universitario en Ingeniería Informática y de Telecomunicación,Desarrollo de arrays planos de alta ganancia sobre tecnología de guía impresa,"Sánchez Olivares, Pablo",2013,https://repositorio.uam.es/handle/10486/13836,abstracts_uam_TFM\RND_Desarrollo_de_arrays_planos_de_2013_56385808.txt,Ondas; Antenas (Electrónica),spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,No disponible,Voting methods for generic object detection,"Jiang, Qijiong",2013,https://repositorio.uam.es/handle/10486/13839,abstracts_uam_TFM\RND_Voting_methods_for_generic_obj_2013_31591386.txt,Detectores; Teledetección,eng
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster en Ingeniería Informática y de Telecomunicaciones,Aplicación de las redes bayesianas dinámicas a la predicción de series de datos y a la detección de anomalías,"Reguero Álvarez, Jaime",2011,https://repositorio.uam.es/handle/10486/12527,abstracts_uam_TFM\RND_Aplicaci_n_de_las_redes_bayesi_2011_33068630.txt,Redes bayesianas,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster Universitario en Investigación e Innovación en TIC,Análisis multifactor de series temporales financieras mediante descomposición en subespacios,"Diéguez Sánchez-Largo, Álvaro",2013,https://repositorio.uam.es/handle/10486/13835,abstracts_uam_TFM\RND_An_lisis_multifactor_de_series_2013_56778603.txt,Series temporales; Análisis de datos,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,No disponible,Feature extraction for biometric recognition using millimetre-wave images,"González-Sosa, Ester",2013,https://repositorio.uam.es/handle/10486/14380,abstracts_uam_TFM\RND_Feature_extraction_for_biometr_2013_23225699.txt,Biometría; Ondas,eng
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster Universitario en Investigación e Innovación en TIC,Desarrollo y validación de módulos en la arquitectura ABNO,"Cuaresma Saturio, Marta",2013,https://repositorio.uam.es/handle/10486/14340,abstracts_uam_TFM\RND_Desarrollo_y_validaci_n_de_m_d_2013_48203680.txt,Arquitectura puerto a puerto; Protocolos de comunicaciones,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster Universitario en Investigación e Innovación en Tecnologías de la Información y las Comunicaciones,Accurate and flexible flow-based monitoring for high-speed networks,"Forconesi, Marco",2013,https://repositorio.uam.es/handle/10486/14339,abstracts_uam_TFM\RND_Accurate_and_flexible_flow-bas_2013_45390382.txt,"Ordenadores, Redes de; Datos - Tratamiento electrónico",eng
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster en Ingeniería Informática y de Telecomunicación,Análisis de las características acústicas de la percusión humana,"Hernández López, Daniel",2010,https://repositorio.uam.es/handle/10486/12370,abstracts_uam_TFM\RND_An_lisis_de_las_caracter_stica_2010_84010161.txt,Acústica; Percusión  humana; Análisis espectral; Transcripción de audio a MIDI,spa
Universidad Autónoma de Madrid,Máster,Facultad de Ciencias,Trabajo fin de máster en Antropología Física: Evolución y Biodiversidad Humanas,Aproximación paleodemográfica a las poblaciones del entorno mediterráneo en la edad del bronce,"Domínguez del Triunfo, Helena",2013,https://repositorio.uam.es/handle/10486/660350,abstracts_uam_TFM\Aproximaci_n_paleodemogr_fica__2013_2576719.txt,Bronce medio; Argar; Estimadores paleodemográficos; Índice de juventud; Patología; Tipos de enterramiento,spa
Universidad Autónoma de Madrid,Máster,Facultad de Ciencias,Trabajo fin de máster en Biología Evolutiva y Biodiversidad,La paleodemografía de la península Ibérica: desde el mundo romano al censo de Floridablanca,"Rodgers, Fionn Ruarí",2013,https://repositorio.uam.es/handle/10486/660353,abstracts_uam_TFM\La_paleodemograf_a_de_la_pen_n_2013_30392682.txt,Paleodemografía; Edad Media; Época Romana; Necrópolis,spa
Universidad Autónoma de Madrid,Máster,Facultad de Ciencias,Trabajo fin de máster en Antropología Física: Evolución y Biodiversidad Humanas,Descripción ontogénica de la impronta de la arteria meníngea media. Una nueva metodología.,"Sevillano de la Puente, Eduardo",2013,https://repositorio.uam.es/handle/10486/660354,abstracts_uam_TFM\Descripci_n_ontog_nica_de_la_i_2013_31995964.txt,Arteria meníngea media; Ontogenia; SIG; Anastomosis,spa
Universidad Autónoma de Madrid,Máster,Facultad de Filosofía y Letras,Trabajo presentado para obtener el Diploma de Estudios Avanzados (DEA).,Los textos literarios clásicos españoles en la enseñanza del español para extranjeros (E/LE),"Palacios González, Sergio",2011,https://repositorio.uam.es/handle/10486/7081,abstracts_uam_TFM\RND_Los_textos_literarios_cl_sicos_2011_3906719.txt,Educación e investigación educativa,spa
Universidad Autónoma de Madrid,Máster,Facultad de Ciencias,Trabajo presentado para obtener el Diploma de Estudios Avanzados (DEA).,"Propuesta de protocolo de campo y laboratorio en osteoarqueología: aplicación a los yacimientos de la Edad del Bronce ""El Espinillo"" y  ""Alto de las Peñuelas, sector IV"" (Vallecas, Madrid)","Vega Bermúdez, Raquel",2009,https://repositorio.uam.es/handle/10486/4007,abstracts_uam_TFM\RND_Propuesta_de_protocolo_de_camp_2009_36072370.txt,,spa
Universidad Autónoma de Madrid,Máster,Facultad de Ciencias,Trabajo fin de máster en Antropología Física: Evoluicón y Biodiversidad Humanas,Estudio de la juventud en la España peninsular e Islas Baleares desde el Imperio Romano a la Edad Moderna. La demografía llega a la paleodemografía,"Arias Fernández, María",2013,https://repositorio.uam.es/handle/10486/660348,abstracts_uam_TFM\Estudio_de_la_juventud_en_la_E_2013_47450916.txt,Antropología (física); Paleodemografía; Índice de juventud; Rostock; España,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster universitario en Investigación e Innovación en TIC.,Estudio de técnicas de análisis y clasificación de señales EEG en el contexto de sistemas BCI (Brain Computer Interface),"Henríquez Muñoz, Claudia Nureibis",2014,https://repositorio.uam.es/handle/10486/660477,abstracts_uam_TFM\Estudio_de_t_cnicas_de_an_lisi_2014_49675015.txt,Proceso de señales; Electroencefalografía; Cerebro; Neurociencias,spa
Universidad Autónoma de Madrid,Máster,Facultad de Filosofía y Letras,Diploma en Estudio Avanzados en Prehistoria y Arqueología,Arquitectura doméstica romana. La denominada casa del Mitreo (Mérida),"Martín Vime, Sergio",2009,https://repositorio.uam.es/handle/10486/660612,abstracts_uam_TFM\RND_Arquitectura_dom_stica_romana__2009_72268513.txt,Arquitectura; Epoca romana; Mérida,spa
Universidad Autónoma de Madrid,Máster,Facultad de Formación de Profesorado y Educación,Trabajo fin de Máster en Formación de Profesorado en Educación Secundaria Obligatoria y Bachillerato. Música,"La Pasión según San Mateo BWV 244 de J. S. Bach como eje para un proyecto interdisciplinar en el Bachillerato de Artes Escénicas, Música y Danza","López Ruiz, Luis",2012,https://repositorio.uam.es/handle/10486/703913,abstracts_uam_TFM\RND_La_Pasi_n_seg_n_San_Mateo_BWV__2012_33558690.txt,proyecto educativo,spa
Universidad Autónoma de Madrid,Máster,Facultad de Psicología,Trabajo Fin de Máster en Psicología General Sanitaria,Imagen corporal y hábitos alimentarios durante el embarazo: una revisión sistemática,"Gil Pérez-Gorostiaga, Paloma",2023,https://repositorio.uam.es/handle/10486/709483,abstracts_uam_TFM\Imagen_corporal_y_h_bitos_alim_2023_16099007.txt,Embarazo; Imagen corporal; Insatisfacción corporal; Trastorno de la conducta alimentaria; Problema de alimentación; Patología alimentaria,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster Universitario en Investigación e Innovación en Tecnologías de la Información y las Comunicaciones,Applying Gamification to Education: A Case Study in an E-learning Environment,"Gil Pérez, Borja",2015,https://repositorio.uam.es/handle/10486/669268,abstracts_uam_TFM\Applying_Gamification_to_Educa_2015_47900655.txt,Juegos de ordenador; Aprendizaje automático,eng
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster en Investigación e Innovación de Tecnologías de la Información y las Comunicaciones,Detección de estados alterados de conciencia en usuarios de Facebook,"Jerez Villota, Eleana Inés",2015,https://repositorio.uam.es/handle/10486/669265,abstracts_uam_TFM\Detecci_n_de_estados_alterados_2015_61770274.txt,Facebook; Redes sociales; Comunicación,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster en Investigación e Innovación en Tecnologías de la Información y las Comunicaciones,Determinación de reglas de adaptación en un videojuego educativo adaptativo empleando perfiles de jugador y aprendizaje,"Echevarría Meza, Alexis Renato",2015,https://repositorio.uam.es/handle/10486/669266,abstracts_uam_TFM\Determinaci_n_de_reglas_de_ada_2015_37427790.txt,Juegos de vídeo,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster Universitario en Investigación e Innovación en Tecnologías de la Información y las Comunicaciones,FPGA prototype for wavefront reconstruction acceleration,"Martín Lesma, Raúl",2016,https://repositorio.uam.es/handle/10486/677074,abstracts_uam_TFM\FPGA_prototype_for_wavefront_r_2016_48114553.txt,,eng
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,"Trabajo Fin de Máster en Investigación e Innovación en la Inteligencia Computacional y Sistemas Interactivos",Verificación de firma dinámica: Nuevos enfoques basados en la estabilidad de muestras y trazos,"González García, Carlos",2020,https://repositorio.uam.es/handle/10486/695025,abstracts_uam_TFM\Verificaci_n_de_firma_din_mica_2020_60617662.txt,Sistema de verificación biométrico; firma manuscrita; estabilidad de trazos,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,"Trabajo Fin de Máster en Investigación e Innovación en Inteligencia Computacional y Sistemas Interactivos",Estrategias de calentamiento en bandidos multi-brazo para recomendación,"López Ramos, Esther",2021,https://repositorio.uam.es/handle/10486/695134,abstracts_uam_TFM\Estrategias_de_calentamiento_e_2021_71170474.txt,Reinforcement learning; recommender systems; multi-armed bandits,eng
Universidad Autónoma de Madrid,Máster,Facultad de Ciencias,Trabajo Fin de Máster en Física de la Materia Condensada y de los Sistemas Biológicos,Towards lateral dots on few-layer transition metal dichalcogenides (TMDCs),"González Sánchez,  Celia",2020,https://repositorio.uam.es/handle/10486/694014,abstracts_uam_TFM\Towards_lateral_dots_on_few-la_2020_73887410.txt,2D materials; nanodevices; quantum transport; quantum dot; TMDC,eng
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster en Ingeniería Informática y Máster en Investigación e Innovación en las Tecnologías de la Información y las Comunicaciones,Análisis de estrategias de construcción en videojuegos de estrategia en tiempo real,"Guadalix Arribas, Gonzalo",2015,https://repositorio.uam.es/handle/10486/669353,abstracts_uam_TFM\An_lisis_de_estrategias_de_con_2015_11787877.txt,Juegos de vídeo; Programación en tiempo real,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster en Ingeniería Informática,Utilización de técnicas de clustering para mejorar la detección de meta-topics en conjuntos de datos extraidos de Twitter,"Delgado Calle, Carlos",2015,https://repositorio.uam.es/handle/10486/669359,abstracts_uam_TFM\Utilizaci_n_de_t_cnicas_de_clu_2015_30466046.txt,Twitter; Web semántica,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Master en Ingeniería Informática,Desarrollo de un algoritmo Ant Colony Optimization para tareas de clustering en Apache Spark,"Ortiz Martín, Alejandro",2016,https://repositorio.uam.es/handle/10486/673609,abstracts_uam_TFM\Desarrollo_de_un_algoritmo_Ant_2016_20603408.txt,,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster Universitario en Ingeniería de Telecomunicación,Contribuciones a la simulación de sistemas de vídeo-seguridad con múltiples cámaras,"Pazmiño Moya, Vinicio David",2020,https://repositorio.uam.es/handle/10486/692616,abstracts_uam_TFM\Contribuciones_a_la_simulaci_n_2020_74175965.txt,Multi-cámara; Unity 3D; Simulación,spa
Universidad Autónoma de Madrid,Máster,Facultad de Psicología,Trabajo fin de Máster en Psicología de la Educación,La inclusión de familias de origen latinoamericano: las voces de las mujeres como vía para la evaluación de un programa socioeducativo,"Morales Cabrices, Aura Marina",2013,https://repositorio.uam.es/handle/10486/680471,abstracts_uam_TFM\La_inclusi_n_de_familias_de_or_2013_42049171.txt,Inclusión social; Familias inmigrantes; Mujeres; Intervención socioeducativa; Mediación intercultural; Evaluación,spa
Universidad Autónoma de Madrid,Máster,Facultad de Psicología,Trabajo fin de Máster en Psicología de la Educación,Enseñando a aprender,"Renovell Carnicero, Regina",2017,https://repositorio.uam.es/handle/10486/680407,abstracts_uam_TFM\Ense_ando_a_aprender_2017_84968012.txt,Estrategias de aprendizaje; Reflexión sobre la acción; Asesoramiento colaborativo; Profesorado,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster Universitario en en Investigación e Innovación en Inteligencia Computacional y Sistemas Interactivos,Algoritmos de aprendizaje automático para la clasificación de datos funcionales,"Sánchez Calvo, Luis",2020,https://repositorio.uam.es/handle/10486/692551,abstracts_uam_TFM\Algoritmos_de_aprendizaje_auto_2020_5256480.txt,,spa
Universidad Autónoma de Madrid,Máster,Facultad de Ciencias Económicas y Empresariales,Trabajo Fin de Máster en Dirección de Marketing,"Oye Siri, Okey Google, Hey Alexa...: Determinantes de la intención de uso de los asistentes virtuales por voz e influencia de la privacidad percibida","Saavedra Montejo, Álvaro",2020,https://repositorio.uam.es/handle/10486/692318,abstracts_uam_TFM\Oye_Siri__Okey_Google__Hey_Ale_2020_68101507.txt,asistentes virtuales por voz; altavoces inteligentes; intención de uso; beneficios percibidos; privacidad percibida; teoría del ensamblaje,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster Universitario en Investigación e Innovación en Tecnologías de la Información y las Comunicaciones,Procesos Gaussianos para problemas de clasificación multiclase en conjuntos de datos grandes,"Villacampa Calvo, Carlos",2017,https://repositorio.uam.es/handle/10486/677534,abstracts_uam_TFM\Procesos_Gaussianos_para_probl_2017_6604240.txt,,eng
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster Universitario en Ingeniería de Telecomunicación,Caracterización computacional de la potencia electromagnética absorbida en el cuerpo humano a frecuencias del sistema 5G,"Portalea Galeano, Rodrigo Ezequiel",2020,https://repositorio.uam.es/handle/10486/692618,abstracts_uam_TFM\Caracterizaci_n_computacional__2020_59186876.txt,5G; Exposición Electromagnética Humana; Contaminación Radioeléctrica,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster Universitario en en Investigación e Innovación en Inteligencia Computacional y Sistemas Interactivos,Interpretación de modelos de clasificación mediante la proyección sobre la frontera de decisión,"González Velasco, Irene",2020,https://repositorio.uam.es/handle/10486/692535,abstracts_uam_TFM\Interpretaci_n_de_modelos_de_c_2020_12513851.txt,Aprendizaje Automático; Aprendizaje Automático Interpretable; Frontera de Decisión,spa
